課程類別,必選修,領域類別,年級,學期,課程,學分,時數
系專業課程,選修,一般領域,三年級,第二學期,電磁學,3,3
系專業課程,選修,一般領域,四年級,第一學期,隨機程序,3,3
系專業課程,選修,一般領域,四年級,第二學期,工程科技英文,3,3
系專業課程,選修,一般領域,一年級,第一學期,視窗程式設計,3,3
系專業課程,選修,一般領域,二年級,第二學期,最佳化原理,3,3
系專業課程,選修,一般領域,三年級,第一學期,電路理論,3,3
系專業課程,選修,一般領域,三年級,第二學期,工程數值方法,3,3
系專業課程,選修,一般領域,四年級,第一學期,數位畫像處理,3,3
系專業課程,選修,一般領域,四年級,第二學期,數位媒體設計,3,3
系專業課程,選修,一般領域,三年級,第一學期,計算機應用,3,3
系專業課程,選修,一般領域,三年級,第二學期,數位信號處理,3,3
系專業課程,選修,一般領域,四年級,第一學期,工程倫理,3,3
系專業課程,選修,一般領域,三年級,第一學期,工程機率與統計,3,3
系專業課程,選修,一般領域,四年級,第一學期,工業產品設計,3,3
系專業課程,選修,一般領域,三年級,第一學期,傅立葉變換及應用,3,3
系專業課程,選修,一般領域,四年級,第一學期,實務專題(三),1,3
系專業課程,選修,電力領域,二年級,第一學期,電機應用,3,3
系專業課程,選修,電力領域,二年級,第二學期,圖形監控設計,3,3
系專業課程,選修,電力領域,三年級,第一學期,積體電路應用,3,3
系專業課程,選修,電力領域,三年級,第二學期,電動車馬達固態驅動,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力品質,3,3
系專業課程,選修,電力領域,四年級,第二學期,固態電源供應器,3,3
系專業課程,選修,電力領域,二年級,第一學期,機電能量轉換,3,3
系專業課程,選修,電力領域,三年級,第一學期,節能技術分析,3,3
系專業課程,選修,電力領域,三年級,第二學期,工程電路模擬與設計,3,3
系專業課程,選修,電力領域,四年級,第一學期,風能發電系統,3,3
系專業課程,選修,電力領域,四年級,第二學期,特殊電機,3,3
系專業課程,選修,電力領域,二年級,第一學期,綠能科技,3,3
系專業課程,選修,電力領域,三年級,第一學期,發變電工程,3,3
系專業課程,選修,電力領域,三年級,第二學期,電力系統分析,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力監控,3,3
系專業課程,選修,電力領域,四年級,第二學期,綠色電能轉換,3,3
系專業課程,選修,電力領域,三年級,第一學期,工業配電,3,3
系專業課程,選修,電力領域,三年級,第二學期,馬達固態驅動,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力資訊整合概論,3,3
系專業課程,選修,電力領域,四年級,第二學期,電力潮流分析,3,3
系專業課程,選修,電力領域,四年級,第一學期,電動車控制,3,3
系專業課程,選修,電力領域,四年級,第二學期,電動車能量管理與控制,3,3
系專業課程,選修,電力領域,四年級,第一學期,電力系統保護協調,3,3
系專業課程,選修,控制領域,二年級,第一學期,機器人導論,3,3
系專業課程,選修,控制領域,三年級,第一學期,光電工程,3,3
系專業課程,選修,控制領域,三年級,第二學期,智慧型系統導論,3,3
系專業課程,選修,控制領域,四年級,第一學期,數位控制,3,3
系專業課程,選修,控制領域,四年級,第二學期,照明設計,3,3
系專業課程,選修,控制領域,三年級,第一學期,微處理機應用,3,3
系專業課程,選修,控制領域,三年級,第二學期,機器人學,3,3
系專業課程,選修,控制領域,四年級,第一學期,光學設計,3,3
系專業課程,選修,控制領域,三年級,第一學期,信號與系統,3,3
系專業課程,選修,控制領域,四年級,第一學期,光電系統設計,3,3
系專業課程,選修,控制領域,四年級,第一學期,線性系統,3,3
系專業課程,選修,控制領域,四年級,第一學期,影像處理,3,3
系專業課程,選修,資通領域,一年級,第一學期,*Python微學分-深度學習實作模組,1,1
系專業課程,選修,資通領域,二年級,第一學期,資料結構,3,3
系專業課程,選修,資通領域,二年級,第二學期,演算法,3,3
系專業課程,選修,資通領域,三年級,第一學期,計算機網路,3,3
系專業課程,選修,資通領域,三年級,第二學期,通訊系統,3,3
系專業課程,選修,資通領域,四年級,第一學期,嵌入式系統應用程式開發,3,3
系專業課程,選修,資通領域,一年級,第一學期,*影像處理微學分-深度學習實作模組,1,1
系專業課程,選修,資通領域,二年級,第一學期,電信概論,3,3
系專業課程,選修,資通領域,二年級,第二學期,數據通訊,3,3
系專業課程,選修,資通領域,三年級,第一學期,JAVA程式設計,3,3
系專業課程,選修,資通領域,三年級,第二學期,Linux系統與程式設計,3,3
系專業課程,選修,資通領域,四年級,第一學期,資訊安全,3,3
系專業課程,選修,資通領域,二年級,第二學期,計算機結構,3,3
系專業課程,選修,資通領域,三年級,第一學期,無線網路,3,3
系專業課程,選修,資通領域,三年級,第二學期,資料庫系統,3,3
系專業課程,選修,資通領域,二年級,第二學期,Python程式設計,3,3
系專業課程,選修,資通領域,三年級,第一學期,感測網路佈建與應用實務,3,3
系專業課程,選修,資通領域,三年級,第二學期,物聯網應用,3,3
系專業課程,選修,資通領域,二年級,第二學期,作業系統,3,3
系專業課程,選修,資通領域,三年級,第二學期,雲端計算概論,3,3
系專業課程,選修,資通領域,三年級,第二學期,人工智慧,3,3
系專業課程,選修,資通領域,三年級,第二學期,Python微學分-深度學習實作模組,1,1
系專業課程,選修,資通領域,三年級,第二學期,嵌入式系統與AI微學分-深度學習實作模組,1,1
系專業課程,選修,資通領域,三年級,第二學期,影像處理微學分-深度學習實作模組,1,1
系專業課程,選修,資通領域,三年級,第二學期,機器學習微學分-深度學習實作模組,1,1
系專業課程,選修,實習,一年級,第一學期,數位電路應用暨實習,3,3
系專業課程,選修,實習,一年級,第二學期,電腦輔助數位電路設計暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,能源資源暨網路實習,3,3
系專業課程,選修,實習,二年級,第二學期,電子電路應用暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,接取網路技術暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,電力系統模擬暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,遠端監控暨實習,3,3
系專業課程,選修,實習,四年級,第二學期,校外學期實習(二),9,
系專業課程,選修,實習,一年級,第一學期,電工儀表暨實習,3,3
系專業課程,選修,實習,一年級,第二學期,邏輯設計暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,光電工程暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,網際網路應用暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,電力電子分析暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,校外學期實習(一),9,
系專業課程,選修,實習,四年級,第二學期,電腦視覺暨實習,3,3
系專業課程,選修,實習,二年級,第一學期,電腦輔助邏輯電路解析暨實習,3,3
系專業課程,選修,實習,三年級,第一學期,順序控制暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,積體電路應用暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,校外暑期實習,2,
系專業課程,選修,實習,四年級,第二學期,固態轉換器暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,MATLAB工程實務應用暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,馬達固態驅動暨實習,3,3
系專業課程,選修,實習,四年級,第二學期,影像處理暨實習,3,3
系專業課程,選修,實習,三年級,第二學期,機器人控制暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,電動車馬達驅動分析暨實習,3,3
系專業課程,選修,實習,四年級,第一學期,智慧電網暨實習,3,3
